Day,Month,Term Used,Title,URL,Year,barbarian,barbaric,extremis,fanatic,fundamentalis,jihad,militant,murder,radical,refugee,terror,terrorism,terrorist,violence,violent
28,Oct.,True,FACE OF HATE Sicko's online history of evil Racist rants & 'threat',https://link.galegroup.com/apps/doc/A560336319/SPN.SP01?u=nypl&sid=SPN.SP01&xid=fefac8be,2018,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
24,Oct.,True,Terrorist is still on hook,https://link.galegroup.com/apps/doc/A559548666/SPN.SP01?u=nypl&sid=SPN.SP01&xid=0b0d06d2,2018,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
22,Oct.,True,FAST TAKES,https://link.galegroup.com/apps/doc/A559246487/SPN.SP01?u=nypl&sid=SPN.SP01&xid=c198edfe,2018,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
18,Oct.,False,'Straight Out of Orwell',https://link.galegroup.com/apps/doc/A558678459/SPN.SP01?u=nypl&sid=SPN.SP01&xid=2d63a3e8,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,Oct.,False,POSTSCRIPT; Books Refrains of the day Some of our most popular phrases come from the strangest places,https://link.galegroup.com/apps/doc/A558246080/SPN.SP01?u=nypl&sid=SPN.SP01&xid=11111e8c,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,Oct.,True,Agent of Change Muslim actor Zeeko Zaki wants to use his 'FBI' role for good,https://link.galegroup.com/apps/doc/A557713342/SPN.SP01?u=nypl&sid=SPN.SP01&xid=864a144a,2018,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
5,Oct.,True,"Hot Ticket; Interview Song of Saul 'Homeland' star Mandy Patinkin talks about Tom Waits, refugees, trains and his beard",https://link.galegroup.com/apps/doc/A556974611/SPN.SP01?u=nypl&sid=SPN.SP01&xid=6327ce8e,2018,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
4,Oct.,True,BRED WINNER Nurmagomedov raised to be a champion in tough Russian region,https://link.galegroup.com/apps/doc/A556851048/SPN.SP01?u=nypl&sid=SPN.SP01&xid=47f91bb0,2018,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
30,Sept.,True,Class warfare Israeli student: Columbia not protecting me from anti-Semitic protesters,https://link.galegroup.com/apps/doc/A556494489/SPN.SP01?u=nypl&sid=SPN.SP01&xid=40009d8f,2018,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True
16,Sept.,True,Drunk's 911 call on self,https://link.galegroup.com/apps/doc/A554510719/SPN.SP01?u=nypl&sid=SPN.SP01&xid=4b1f7a44,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
