Day,Month,Term Used,Title,URL,Year,barbarian,barbaric,extremis,fanatic,fundamentalis,jihad,militant,murder,radical,refugee,terror,terrorism,terrorist,violence,violent
16,Nov.,True,College added to money-laundering indictment,https://link.galegroup.com/apps/doc/A562376946/SPN.SP01?u=nypl&sid=SPN.SP01&xid=671c1510,2018,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4,Nov.,False,POSTSCRIPT Letters,https://link.galegroup.com/apps/doc/A561131621/SPN.SP01?u=nypl&sid=SPN.SP01&xid=956cfa5a,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Nov.,False,8 THINGS TO WATCH THIS WEEK RESCUE FORCE Every day at '9-1-1' is an emergency,https://link.galegroup.com/apps/doc/A561131712/SPN.SP01?u=nypl&sid=SPN.SP01&xid=bd7e107e,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Nov.,False,Deutsche rises on hedge edge,https://link.galegroup.com/apps/doc/A560841308/SPN.SP01?u=nypl&sid=SPN.SP01&xid=d1aac6fd,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,Nov.,True,"5 DAYS TO MIDTERMS Ain't Mo. way, 'racist' daddy-o Kids out to stop hate-spout pol",https://link.galegroup.com/apps/doc/A560696996/SPN.SP01?u=nypl&sid=SPN.SP01&xid=736d0cac,2018,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
28,Oct.,False,"POSTSCRIPT; Politics Stuck in the middle America is a lot less polarized than our extreme fringes suggest, a new report shows",https://link.galegroup.com/apps/doc/A560336264/SPN.SP01?u=nypl&sid=SPN.SP01&xid=2c7bb61c,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,Oct.,False,"Body & Soul - The inside scoop on mating, dating and relating; Cover Story Pod save our marriage! Forget couples' therapy. Nowadays, when partners want to talk their issues out, they record it - and upload it online. But is it really wise to let the whole world in on your craziest marital secrets? Airing it out",https://link.galegroup.com/apps/doc/A558678353/SPN.SP01?u=nypl&sid=SPN.SP01&xid=de3c6af0,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,Oct.,False,Drag-out war at Fordham,https://link.galegroup.com/apps/doc/A558377078/SPN.SP01?u=nypl&sid=SPN.SP01&xid=b48f09da,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,Oct.,True,"Don, freed pastor pray",https://link.galegroup.com/apps/doc/A558246082/SPN.SP01?u=nypl&sid=SPN.SP01&xid=e8ec440c,2018,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
12,Oct.,False,Newsweek saga revisits Harvey,https://link.galegroup.com/apps/doc/A557841482/SPN.SP01?u=nypl&sid=SPN.SP01&xid=e5e2fc8b,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,Oct.,False,Newsweek ex-parent & exec are indicted,https://link.galegroup.com/apps/doc/A557713395/SPN.SP01?u=nypl&sid=SPN.SP01&xid=a876db62,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,Oct.,False,"GO YOUR OWN JAY Ajayi's ACL blow takes away inconsistency worries, but pickings are slim",https://link.galegroup.com/apps/doc/A557433504/SPN.SP01?u=nypl&sid=SPN.SP01&xid=fe1cec9e,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Oct.,False,Justice Kavanaugh Dems facing backlash 'Mama Bears' could turn midterms to GOP,https://link.galegroup.com/apps/doc/A557330068/SPN.SP01?u=nypl&sid=SPN.SP01&xid=e2af47a4,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Oct.,False,Brazil's prez cam-pain Far-right pol on top after knifing,https://link.galegroup.com/apps/doc/A557330157/SPN.SP01?u=nypl&sid=SPN.SP01&xid=b58203ab,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
